trace_index,trace_is_fit,fitness,produced_tokens,consumed_tokens,missing_tokens,remaining_tokens
0,True,1.0,32,32,0,0
1,True,1.0,510,510,0,0
2,True,1.0,54,54,0,0
3,True,1.0,28,28,0,0
4,True,1.0,48,48,0,0
5,True,1.0,24,24,0,0
6,True,1.0,34,34,0,0
7,True,1.0,44,44,0,0
8,True,1.0,24,24,0,0
9,True,1.0,26,26,0,0
10,True,1.0,30,30,0,0
11,True,1.0,28,28,0,0
12,True,1.0,34,34,0,0
13,True,1.0,126,126,0,0
14,True,1.0,28,28,0,0
15,True,1.0,56,56,0,0
16,True,1.0,426,426,0,0
17,True,1.0,60,60,0,0
18,True,1.0,550,550,0,0
19,True,1.0,30,30,0,0
20,True,1.0,48,48,0,0
21,True,1.0,40,40,0,0
22,True,1.0,24,24,0,0
23,True,1.0,24,24,0,0
24,True,1.0,30,30,0,0
25,True,1.0,44,44,0,0
26,True,1.0,30,30,0,0
27,True,1.0,78,78,0,0
28,True,1.0,28,28,0,0
29,True,1.0,50,50,0,0
30,True,1.0,30,30,0,0
31,True,1.0,30,30,0,0
32,True,1.0,34,34,0,0
33,True,1.0,268,268,0,0
34,True,1.0,46,46,0,0
35,True,1.0,34,34,0,0
36,True,1.0,28,28,0,0
37,True,1.0,26,26,0,0
38,True,1.0,120,120,0,0
39,True,1.0,110,110,0,0
40,True,1.0,20,20,0,0
41,True,1.0,150,150,0,0
42,True,1.0,38,38,0,0
43,True,1.0,146,146,0,0
44,True,1.0,36,36,0,0
45,True,1.0,24,24,0,0
46,True,1.0,38,38,0,0
47,True,1.0,28,28,0,0
48,True,1.0,26,26,0,0
49,True,1.0,508,508,0,0
50,True,1.0,22,22,0,0
51,True,1.0,30,30,0,0
52,True,1.0,122,122,0,0
53,True,1.0,36,36,0,0
54,True,1.0,34,34,0,0
55,True,1.0,24,24,0,0
56,True,1.0,28,28,0,0
57,True,1.0,46,46,0,0
58,True,1.0,202,202,0,0
59,True,1.0,26,26,0,0
60,True,1.0,26,26,0,0
61,True,1.0,38,38,0,0
62,True,1.0,34,34,0,0
63,True,1.0,38,38,0,0
64,True,1.0,34,34,0,0
65,True,1.0,80,80,0,0
66,True,1.0,20,20,0,0
67,True,1.0,36,36,0,0
68,True,1.0,32,32,0,0
69,True,1.0,24,24,0,0
70,True,1.0,32,32,0,0
71,True,1.0,152,152,0,0
72,True,1.0,306,306,0,0
73,True,1.0,138,138,0,0
74,True,1.0,60,60,0,0
75,True,1.0,30,30,0,0
76,False,0.9919484702093397,621,621,5,5
77,False,0.99561846983485,2967,2967,13,13
78,True,1.0,40,40,0,0
79,True,1.0,36,36,0,0
80,True,1.0,90,90,0,0
81,True,1.0,24,24,0,0
82,True,1.0,26,26,0,0
83,True,1.0,24,24,0,0
84,True,1.0,70,70,0,0
85,True,1.0,32,32,0,0
86,True,1.0,46,46,0,0
87,True,1.0,40,40,0,0
88,True,1.0,24,24,0,0
89,True,1.0,36,36,0,0
90,True,1.0,24,24,0,0
91,True,1.0,30,30,0,0
92,True,1.0,42,42,0,0
93,True,1.0,218,218,0,0
94,True,1.0,40,40,0,0
95,True,1.0,102,102,0,0
96,True,1.0,626,626,0,0
97,True,1.0,498,498,0,0
98,True,1.0,24,24,0,0
99,True,1.0,28,28,0,0
100,True,1.0,78,78,0,0
101,True,1.0,36,36,0,0
102,False,0.9963254593175853,1905,1905,7,7
103,True,1.0,24,24,0,0
104,True,1.0,24,24,0,0
105,True,1.0,34,34,0,0
106,True,1.0,24,24,0,0
107,True,1.0,44,44,0,0
108,True,1.0,38,38,0,0
109,True,1.0,24,24,0,0
110,True,1.0,36,36,0,0
111,True,1.0,28,28,0,0
112,True,1.0,34,34,0,0
113,True,1.0,30,30,0,0
114,True,1.0,28,28,0,0
115,True,1.0,28,28,0,0
116,True,1.0,40,40,0,0
117,True,1.0,36,36,0,0
