department,total,cancelled,cancel_rate
רשות הספורט,25,19,0.76
הנהלת האגף,12,9,0.75
"תיכון עירוני א""",7,5,0.7142857142857143
המחלקה לרכש ואספקה,6,4,0.6666666666666666
המחלקה למשפחה,11,7,0.6363636363636364
המחלקה לנוער,19,12,0.631578947368421
המחלקה לאזרחים ותיקי,8,5,0.625
חופי רחצה עירוניים,13,8,0.6153846153846154
המחלקה לתובלה,23,14,0.6086956521739131
"מוסדות-בתי""ס מיוחדים",5,3,0.6
המחלקה לגנים ונוף,5,3,0.6
הנהלת אגף החשבות,5,3,0.6
"מוסדות-חט"" עמלניות",5,3,0.6
המחלקה לפניות הציבור,5,3,0.6
הנהלת מינהל ההנדסה,7,4,0.5714285714285714
אגף רישוי בניה,16,9,0.5625
"מוסדות-חט""ב",9,5,0.5555555555555556
"מוסדות-בת""יס יסודיים",11,6,0.5454545454545454
העצמה חינוכית וטיפול בפרט,19,10,0.5263157894736842
"מח"" לחינוך קדם יסודי",10,5,0.5
המח. לאחזקה ושפור דר,6,3,0.5
המח. לשירותי נקיון,29,13,0.4482758620689655
"מח"" נוער צעירים וש.ת",18,8,0.4444444444444444
טכנולוגיות ומערכות מידע,9,4,0.4444444444444444
המחלקה לתכנון תנועה,5,2,0.4
אגף ניהול בקרת תנועה וטכנולוגיות,5,2,0.4
"מח"" ניהול פסולת ומיח",5,2,0.4
אזור מזרח חיפה,5,2,0.4
"תיכון עירוני ג""",5,2,0.4
"תיכון עירוני ב"")ישיב",5,2,0.4
"המח"" לשירותי פרט",5,2,0.4
מוקד עירוני ומרכזיית העירייה,8,3,0.375
המחלקה לחיובים,8,3,0.375
המחלקה לשירותי קהל,11,4,0.36363636363636365
מוסדות-ניהול עצמי,69,25,0.36231884057971014
המחלקה לתשלומים,6,2,0.3333333333333333
השרות המשפטי,15,5,0.3333333333333333
הנהלה,9,3,0.3333333333333333
"תיכון עירוני ה""",7,2,0.2857142857142857
השירות הוטרינרי,7,2,0.2857142857142857
המחלקה לשיקום,8,2,0.25
"מח"" אכיפת גביה חניה",9,2,0.2222222222222222
מח.סליקה והתאמת בנקי,5,1,0.2
"מחלקת תאורה, חשמל ואנרגיה",5,1,0.2
מחלקת פיקוח היתרי בניה,5,1,0.2
אגף בטחון ושרותי חרו,5,1,0.2
מרכז רישום ומידע,6,1,0.16666666666666666
"מח"" חשבונות מורכבים",6,1,0.16666666666666666
המחלקה למידע תכנון עיר,6,1,0.16666666666666666
"מח"" גביה חיצונית וחש",13,2,0.15384615384615385
"מח"" אכיפת גביה מעסקי",11,1,0.09090909090909091
תיכון עירוני אליאנס,11,1,0.09090909090909091
המחלקה לספריות,8,0,0.0
אכיפה עירונית,5,0,0.0
