source,target,frequency
אישור קביעת מועד ועדה עבור הליך גיוס - מכרז,אישור קביעת מועד ועדה עבור הליך גיוס - מכרז,158976
המלצת תקציב לגיוס,המלצת תקציב לגיוס,95388
"החלטת מנכ""ל - גיוס","החלטת מנכ""ל - גיוס",76084
"חוזה נחתם ע""י כל הגורמים","חוזה נחתם ע""י כל הגורמים",54752
"תכנון - בקרת כ""א","תכנון - בקרת כ""א",49819
החלטת ועדת מכרזים (מכרז חיצוני + פנימי),החלטת ועדת מכרזים (מכרז חיצוני + פנימי),45189
אישור הכנת מפרט + פרסום,אישור הכנת מפרט + פרסום,44388
דיווח הדמיית שכר,דיווח הדמיית שכר,43562
אישור יידוע נוסח המכרז נציג ועד העובדים,אישור יידוע נוסח המכרז נציג ועד העובדים,37802
מכרז פנימי לפרסום,מכרז פנימי לפרסום,36964
אישור סיום נוסח מכרז,אישור סיום נוסח מכרז,30816
החלטת הועדה - התאמת מועמדים - ללא מכרז,החלטת הועדה - התאמת מועמדים - ללא מכרז,30512
"החלטת ועדת מכרזים - התאמת מועמדים (מכרז פנימי) - מלבד רמ""ד","החלטת ועדת מכרזים - התאמת מועמדים (מכרז פנימי) - מלבד רמ""ד",29544
המלצת גיוס של אגף משאבי אנוש,המלצת גיוס של אגף משאבי אנוש,29198
נתוני תנאי שרות להדמייה,נתוני תנאי שרות להדמייה,25776
המלצת איוש ואופן גיוס,המלצת איוש ואופן גיוס,23693
"אישור נוסח מכרז ע""י מנהל היחידה המבקשת (אגף)","אישור נוסח מכרז ע""י מנהל היחידה המבקשת (אגף)",22814
"אישור נוסח מודעת דרושים ע""י מנהל היחידה המבקשת (אגף)","אישור נוסח מודעת דרושים ע""י מנהל היחידה המבקשת (אגף)",19958
פרסום מודעת דרושים,פרסום מודעת דרושים,19292
מינוי מועמד לפי בחירת ועדת מכרזים,מינוי מועמד לפי בחירת ועדת מכרזים,17654
אישור ראש מינהל,אישור ראש מינהל,16206
