activity,total_cases,cases_with_rework,avg_events_per_case,avg_duration_days,rework_ratio
אישור גיוס - החלטת הועדה,1,1,714.0,365.0002314814815,1.0
החלטת לשכת ראש העיר,1,1,714.0,365.0003009259259,1.0
החלטת ועדת מכרזים (מכרז חיצוני + פנימי),261,261,174.18773946360153,41.36732882787002,1.0
"אישור טיפול במינוי קרובי משפחה - מלבד רמ""ד",72,72,171.26388888888889,35.82728009259259,1.0
אישור קביעת מועד ועדה עבור הליך גיוס - מכרז,1008,1008,158.82539682539684,45.73876348012199,1.0
"החלטת ועדת מכרזים - התאמת מועמדים (מכרז פנימי) - מלבד רמ""ד",203,203,146.54187192118226,31.708844645137752,1.0
"חוזה נחתם ע""י כל הגורמים",401,401,137.5436408977556,28.534206555370833,1.0
אישור הכנת מפרט + פרסום,372,372,120.39247311827957,34.747882286688565,1.0
מינוי מועמד לפי בחירת ועדת מכרזים,164,164,108.64634146341463,21.629178099593496,1.0
החלטת הועדה - התאמת מועמדים - ללא מכרז,290,290,106.26206896551724,27.51045154853129,1.0
אישור טיפול במינוי קרובי משפחה,26,26,104.07692307692308,16.66570379273504,1.0
המלצת תקציב לגיוס,1148,1148,84.20121951219512,28.76733379911924,1.0
"החלטת מנכ""ל - גיוס",1158,1158,66.81692573402418,25.25272524467473,1.0
מכרז פנימי לפרסום,609,609,61.848932676518885,24.340422805297088,1.0
אישור יידוע נוסח המכרז נציג ועד העובדים,640,640,60.2140625,24.52250631148727,1.0
דיווח הדמיית שכר,741,741,59.960863697705804,16.81480625531064,1.0
"אישור נוסח מכרז ע""י מנהל היחידה המבקשת (מינהל)",97,97,53.92783505154639,19.874623186330663,1.0
"חוזה בכירים נחתם ע""י כל הגורמים",10,10,52.3,8.29949537037037,1.0
"אישור נוסח מודעת דרושים ע""י מנהל היחידה המבקשת (אגף)",407,404,50.09582309582309,16.578263206388204,0.9926289926289926
פרסום מודעת דרושים,411,411,47.99756690997567,15.03448634766153,1.0
אישור סיום נוסח מכרז,693,693,45.62337662337662,21.079841804286247,1.0
"אישור נוסח מודעת דרושים ע""י מנהל היחידה המבקשת (מינהל)",33,33,41.75757575757576,18.88435921717172,1.0
"תכנון - בקרת כ""א",1233,1233,41.45417680454177,13.075918069072722,1.0
"אישור נוסח מכרז ע""י מנהל היחידה המבקשת (אגף)",646,635,36.470588235294116,18.460709619739706,0.9829721362229102
אישור הכנת מפרט למודעת דרושים,112,112,35.05357142857143,15.226365637400793,1.0
נתוני תנאי שרות להדמייה,806,805,33.13399503722084,16.914902065527066,0.9987593052109182
המלצת גיוס של אגף משאבי אנוש,1106,1074,27.49005424954792,13.069719313006496,0.9710669077757685
"אישור שליחת כתב זכיה בדוא""ל",185,185,25.443243243243245,3.3874373748748745,1.0
"אישור שליחת כתב זכיה בדוא""ל - מלבד רמ""ד",343,343,24.448979591836736,4.31456315462693,1.0
המלצת איוש ואופן גיוס,1150,1149,21.72086956521739,12.854338365539451,0.9991304347826087
בדיקת התכנות תשלום שכר עידוד,539,539,17.743970315398887,6.937789287432145,1.0
אישור ראש מינהל,974,972,17.639630390143736,3.433921935603468,0.997946611909651
החלטת גיוס גזבר,653,653,17.411944869831547,13.333850852192162,1.0
אישור מנהל אגף,976,948,16.421106557377048,3.1683081454918036,0.9713114754098361
אישור פרסום מכרז חיצוני,296,296,15.20608108108108,10.339879958083083,1.0
ניוד העובד לתפקיד,150,150,15.193333333333333,0.9673567901234568,1.0
Unknown Stage,550,549,14.705454545454545,1.4749980850168352,0.9981818181818182
אישור מיון וסינון מועמדים,710,710,14.29718309859155,5.682250831377152,1.0
מידע תכנוני,58,58,11.482758620689655,0.6794889447637292,1.0
דיווח בדיקת התאמה,503,501,9.717693836978132,4.6760581418894045,0.9960238568588469
אישור מנהל מחלקה,909,902,8.859185918591859,0.07482276005378315,0.9922992299229924
אישור הכנת מפרט- דרושים פטור ממכרז,2,2,6.5,0.0016724537037037038,1.0
