activity,total_events,late_events,avg_delay_days,compliance_rate
אישור גיוס - החלטת הועדה,1,1,1798.3958333333333,0.0
החלטת לשכת ראש העיר,1,1,1776.3958333333333,0.0
החלטת הועדה - התאמת מועמדים - ללא מכרז,304,101,2.3225422225268026,66.77631578947368
החלטת ועדת מכרזים (מכרז חיצוני + פנימי),274,80,-4.353367168491484,70.8029197080292
"החלטת ועדת מכרזים - התאמת מועמדים (מכרז פנימי) - מלבד רמ""ד",204,44,-10.406181293119099,78.43137254901961
"חוזה נחתם ע""י כל הגורמים",403,46,13.258296485846888,88.58560794044665
"אישור טיפול במינוי קרובי משפחה - מלבד רמ""ד",72,6,44.12825665509259,91.66666666666666
"החלטת מנכ""ל - גיוס",1290,102,6.711276781869079,92.09302325581396
אישור טיפול במינוי קרובי משפחה,26,2,50.49963408119659,92.3076923076923
מינוי מועמד לפי בחירת ועדת מכרזים,164,12,13.158345613143632,92.6829268292683
המלצת תקציב לגיוס,1275,77,4.575455201525054,93.96078431372548
אישור קביעת מועד ועדה עבור הליך גיוס - מכרז,1120,51,5.439064267113095,95.44642857142858
"תכנון - בקרת כ""א",1294,54,2.804340286722194,95.82689335394127
מכרז פנימי לפרסום,702,26,-1.0236426677746122,96.2962962962963
אישור הכנת מפרט + פרסום,398,12,3.8472520589056387,96.98492462311557
אישור סיום נוסח מכרז,801,24,-14.262139556457207,97.00374531835206
אישור יידוע נוסח המכרז נציג ועד העובדים,735,19,4.1044560500125975,97.41496598639455
דיווח הדמיית שכר,869,22,-2.4316351143289436,97.46835443037975
אישור ראש מינהל,975,19,-0.30567630579297245,98.05128205128206
"אישור נוסח מודעת דרושים ע""י מנהל היחידה המבקשת (אגף)",431,8,12.329300533857525,98.14385150812065
המלצת גיוס של אגף משאבי אנוש,1206,22,-1.441247811866593,98.17578772802653
אישור הכנת מפרט למודעת דרושים,121,2,-1.0488067225283135,98.34710743801654
"אישור שליחת כתב זכיה בדוא""ל - מלבד רמ""ד",345,4,-2.3535927603327966,98.84057971014492
פרסום מודעת דרושים,435,4,-1.1603335195828013,99.08045977011494
"אישור נוסח מכרז ע""י מנהל היחידה המבקשת (מינהל)",110,1,-1.0688325968013468,99.0909090909091
נתוני תנאי שרות להדמייה,930,8,-5.554063769414576,99.13978494623656
אישור מנהל אגף,977,7,-0.0868310256264453,99.2835209825998
החלטת גיוס גזבר,739,4,-1.675674319024708,99.45872801082544
בדיקת התכנות תשלום שכר עידוד,567,2,-5.3394020265856685,99.64726631393297
"אישור נוסח מכרז ע""י מנהל היחידה המבקשת (אגף)",746,2,-0.8734991094479198,99.73190348525469
אישור פרסום מכרז חיצוני,332,0,-2.945276383311022,100.0
"אישור נוסח מודעת דרושים ע""י מנהל היחידה המבקשת (מינהל)",36,0,-1.107321244855967,100.0
המלצת איוש ואופן גיוס,1286,0,-0.8458407133805657,100.0
דיווח בדיקת התאמה,523,0,-2.4614037824870763,100.0
"אישור שליחת כתב זכיה בדוא""ל",186,0,-2.3380038455794505,100.0
אישור הכנת מפרט- דרושים פטור ממכרז,2,0,-4.64875,100.0
אישור מיון וסינון מועמדים,742,0,-23.39416518481082,100.0
אישור מנהל מחלקה,909,0,-0.846611279183474,100.0
מידע תכנוני,58,0,-1.8800650542784163,100.0
"חוזה בכירים נחתם ע""י כל הגורמים",10,0,-2.2198657407407407,100.0
ניוד העובד לתפקיד,150,0,-0.9003574074074074,100.0
