resource,mean,median,count
4,0.5385774497836072,0.6757002314814815,217540
13,0.529836600238386,0.07361111111111111,637
110,0.25610725308641974,0.0015277777777777779,3
102,0.20007883129192183,6.944444444444444e-05,254
2,0.19382358286657075,1.1574074074074073e-05,106248
51,0.18443124704850572,6.944444444444444e-05,549
43,0.14132556656813308,9.259259259259259e-05,639
1,0.11932504262514118,0.0,689169
30,0.10383202754036089,5.787037037037037e-05,780
21,0.08649650747238467,0.00010416666666666667,912
78,0.0658533950617284,2.3148148148148147e-05,15
3,0.04533166530501089,0.0,340
49,0.04405356914007433,6.944444444444444e-05,289
7,0.03926955279747833,5.787037037037037e-05,1410
96,0.030862054183813447,0.0015393518518518519,27
92,0.026106235152791278,2.3148148148148147e-05,686
17,0.025436081242532854,0.0,31
26,0.02440469001610306,0.0,23
93,0.020485024735927265,6.944444444444444e-05,277
5,0.018353163782237735,6.944444444444444e-05,764
11,0.018090683885640026,3.472222222222222e-05,171
15,0.01735026957337084,0.0,158
60,0.015647340654608096,0.0,86
65,0.01201337758441172,8.101851851851852e-05,249
16,0.01060935746352413,4.6296296296296294e-05,330
70,0.005190776051475204,0.0,118
47,0.004992283950617285,2.3148148148148147e-05,51
14,0.004967966704077815,4.6296296296296294e-05,396
59,0.0038365912208504797,0.0,162
8,0.0018930844907407405,0.0,48
94,0.001736111111111111,0.0,4
20,0.0015152287516156347,4.6296296296296294e-05,831
12,0.0012977887811958608,4.6296296296296294e-05,791
22,0.0011062863214502557,4.6296296296296294e-05,427
77,0.0008101851851851852,0.00034722222222222224,6
24,0.0006468338041431262,4.6296296296296294e-05,590
9,0.0004883156966490299,0.0,42
83,0.0004866071428571429,0.0,70
80,0.0003775190631808279,8.101851851851852e-05,34
97,0.0003510802469135802,0.00024305555555555555,3
46,0.00034606481481481484,0.0002314814814814815,10
61,0.00033509700176366844,8.680555555555555e-05,42
29,0.0003350051440329218,0.0,90
72,0.0002980324074074074,0.0002488425925925926,4
95,0.0002469135802469136,4.6296296296296294e-05,6
112,0.00024305555555555555,0.00024305555555555555,2
23,0.00023846960167714886,0.0,53
25,0.0002380952380952381,0.0,70
18,0.00023427522349936142,0.0,29
73,0.0002314814814814815,0.0,6
81,0.00021173747276688451,0.0001273148148148148,17
107,0.00020601851851851852,8.101851851851852e-05,5
52,0.00020502645502645502,0.0,7
99,0.00020254629629629632,5.787037037037037e-05,4
39,0.00019675925925925923,5.787037037037037e-05,55
79,0.00019328703703703703,7.523148148148149e-05,10
38,0.00019021076998050683,6.36574074074074e-05,76
88,0.00018132716049382717,9.259259259259259e-05,9
54,0.00017713365539452497,4.6296296296296294e-05,23
35,0.00017361111111111112,0.0,8
56,0.00017195767195767197,7.523148148148149e-05,14
68,0.0001701388888888889,6.36574074074074e-05,30
42,0.0001673789173789174,6.944444444444444e-05,91
82,0.00016369047619047618,0.0,14
44,0.00015462962962962964,8.101851851851852e-05,25
10,0.00015313390313390315,7.523148148148149e-05,52
31,0.0001486111111111111,6.944444444444444e-05,25
109,0.00014274691358024693,0.00015046296296296297,3
62,0.00014185660018993352,9.259259259259259e-05,39
55,0.00014038923182441702,5.787037037037037e-05,54
53,0.0001388888888888889,7.523148148148149e-05,30
32,0.00013212481962481963,5.787037037037037e-05,77
34,0.00012626262626262626,0.0,11
19,0.00012257134183363692,4.6296296296296294e-05,61
108,0.00012152777777777777,0.00010416666666666667,8
106,0.00011987433862433862,6.944444444444444e-05,14
45,0.00011887657361795293,5.787037037037037e-05,203
91,0.00011706349206349207,5.787037037037037e-05,70
84,0.00011429398148148148,6.944444444444444e-05,8
50,0.00011239035087719298,5.787037037037037e-05,38
64,0.0001112891737891738,0.0,13
6,0.00011031997187060478,5.787037037037037e-05,158
69,0.00010747354497354498,6.36574074074074e-05,14
71,0.00010564420803782505,4.6296296296296294e-05,47
41,0.00010527650938609843,0.0,73
103,0.00010416666666666666,9.837962962962963e-05,4
57,0.00010271990740740741,0.0,8
74,0.00010135135135135136,6.944444444444444e-05,37
90,9.950412497805864e-05,2.3148148148148147e-05,211
87,9.92063492063492e-05,0.0,14
28,9.904161541615417e-05,3.472222222222222e-05,542
115,9.837962962962963e-05,0.00010416666666666666,6
105,9.364478114478116e-05,6.944444444444444e-05,11
86,9.114583333333334e-05,4.62962962962963e-05,24
36,8.996212121212121e-05,5.787037037037037e-05,66
111,8.873456790123456e-05,6.944444444444444e-05,51
104,8.597883597883598e-05,6.944444444444444e-05,28
33,8.468834688346883e-05,0.0,41
75,8.190883190883192e-05,2.3148148148148147e-05,13
27,7.875402576489533e-05,0.0,138
40,7.8125e-05,0.0,20
66,7.523148148148149e-05,4.050925925925926e-05,16
63,7.417716299295247e-05,0.0,247
76,7.378472222222222e-05,5.787037037037037e-05,64
100,7.089120370370371e-05,5.787037037037037e-06,16
48,6.510416666666667e-05,4.6296296296296294e-05,8
58,5.787037037037037e-05,0.0,12
114,5.401234567901234e-05,4.6296296296296294e-05,3
101,5.272633744855967e-05,2.3148148148148147e-05,9
113,5.208333333333333e-05,5.208333333333333e-05,2
67,4.153050108932461e-05,0.0,51
37,2.7356902356902358e-05,0.0,11
98,0.0,0.0,1
85,0.0,0.0,6
89,0.0,0.0,5
