Week,Department,Open_Cases,Moving_Avg_4W
2024-01-07 03:00:00,"מוסדות-חט""ב",4,4.0
2024-01-07 03:00:00,המח. לשירותי נקיון,8,8.0
2024-01-07 03:00:00,אגף רישוי בניה,5,5.0
2024-01-07 03:00:00,אגף ניהול בקרת תנועה וטכנולוגיות,3,3.0
2024-01-07 03:00:00,אזור הדר,2,2.0
2024-01-07 03:00:00,לשכת ראש מערכת חינוך,0,0.0
2024-01-07 03:00:00,המחלקה לשיקום,1,1.0
2024-01-07 03:00:00,אגף החינוך- מוסדות חינוך,0,0.0
2024-01-07 03:00:00,המחלקה לתובלה,5,5.0
2024-01-07 03:00:00,מחלקת פיקוח היתרי בניה,2,2.0
2024-01-07 03:00:00,"תיכון עירוני ב"")ישיב",2,2.0
2024-01-07 03:00:00,בית משפט לעניינים מקומיים,0,0.0
2024-01-07 03:00:00,אזור מזרח חיפה,1,1.0
2024-01-07 03:00:00,חופי רחצה עירוניים,1,1.0
2024-01-07 03:00:00,המחלקה לתכנון תנועה,1,1.0
2024-01-07 03:00:00,המחלקה למשפחה,5,5.0
2024-01-07 03:00:00,הנהלת האגף,3,3.0
2024-01-07 03:00:00,רשות הספורט,6,6.0
2024-01-07 03:00:00,לשכת ראש העיר,0,0.0
2024-01-07 03:00:00,"מח"" נוער צעירים וש.ת",8,8.0
2024-01-07 03:00:00,"מח"" לחינוך קדם יסודי",5,5.0
2024-01-07 03:00:00,מוסדות-ניהול עצמי,14,14.0
2024-01-07 03:00:00,"המח"" לתיכנון דרכים",0,0.0
2024-01-07 03:00:00,תיכון עירוני אליאנס,4,4.0
2024-01-07 03:00:00,המחלקה לפניות הציבור,1,1.0
2024-01-07 03:00:00,מכון ביולוגי________,0,0.0
2024-01-07 03:00:00,הנהלת אגף החשבות,0,0.0
2024-01-07 03:00:00,"תיכון עירוני א""",2,2.0
2024-01-07 03:00:00,"מח"" אכיפת גביה חניה",1,1.0
2024-01-07 03:00:00,המחלקה לחיובים,7,7.0
2024-01-07 03:00:00,המח. לאחזקה ושפור דר,2,2.0
2024-01-07 03:00:00,המחלקה לגנים ונוף,3,3.0
2024-01-07 03:00:00,טכנולוגיות ומערכות מידע,5,5.0
2024-01-07 03:00:00,המחלקה לניקוז ומזרקו,2,2.0
2024-01-07 03:00:00,המחלקה למידע תכנון עיר,3,3.0
2024-01-07 03:00:00,השרות המשפטי,0,0.0
2024-01-07 03:00:00,המחלקה לשירותי קהל,5,5.0
2024-01-07 03:00:00,"מח"" גביה חיצונית וחש",2,2.0
2024-01-07 03:00:00,מרכז בית פאני קפלן,2,2.0
2024-01-07 03:00:00,"מוסדות-בתי""ס מיוחדים",1,1.0
2024-01-07 03:00:00,המחלקה לאזרחים ותיקי,0,0.0
2024-01-07 03:00:00,המטה לבטיחות בדרכים,2,2.0
2024-01-07 03:00:00,תכנון משאבי אנוש,1,1.0
2024-01-07 03:00:00,"סמנכ""ל טכנולוגיות",1,1.0
2024-01-07 03:00:00,מרכז בית קהילות,0,0.0
2024-01-07 03:00:00,מחלקת אכיפת עבירות בניה,2,2.0
2024-01-07 03:00:00,מחלקת קהילה ומשאבי התנדבות,2,2.0
2024-01-07 03:00:00,המחלקה לספריות,4,4.0
2024-01-07 03:00:00,העצמה חינוכית וטיפול בפרט,11,11.0
2024-01-07 03:00:00,מרכז ימי____________,0,0.0
2024-01-07 03:00:00,"מח"" אכיפת גביה מעסקי",6,6.0
2024-01-07 03:00:00,"מוסדות-בת""יס יסודיים",4,4.0
2024-01-07 03:00:00,לשכת ראש מינהל הכספים,0,0.0
2024-01-07 03:00:00,המחלקה לנוער,2,2.0
2024-01-07 03:00:00,אגף ארגון ומינהל,0,0.0
2024-01-07 03:00:00,אכיפה עירונית,2,2.0
2024-01-07 03:00:00,תיכון עירוני ק. חיים,1,1.0
2024-01-07 03:00:00,"מרכז מחקר כלכלי חברתי, כותרת חדשה",0,0.0
2024-01-07 03:00:00,מרכז בית אבא חושי,2,2.0
2024-01-07 03:00:00,אזור מערב חיפה,0,0.0
2024-01-07 03:00:00,מרכז רישום ומידע,2,2.0
2024-01-07 03:00:00,המחלקה לתקשוב בחינוך,1,1.0
2024-01-07 03:00:00,מרכז קהילתי ק. שמואל,1,1.0
2024-01-07 03:00:00,המחלקה לכח אדם,1,1.0
2024-01-07 03:00:00,המחלקה לרכש ואספקה,2,2.0
2024-01-07 03:00:00,המחלקה לתכנון ארוך ט,1,1.0
2024-01-07 03:00:00,"מח"" אכיפת גביה ממגור",2,2.0
2024-01-07 03:00:00,"מוסדות-חט"" עמלניות",0,0.0
